sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns	n_unpaired_read	n_pcr_dupl_pairs	pcr_dupl_rate	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
cl_s_110	38338	41243	1.076	1.078	8622	40522	0.496	237087	181226	0.764	90839	14327	19389	16140	0	6005
cl_s_113	476297	3819801	8.02	8.404	536804	1249559	0.246	13624563	11052969	0.811	5446805	893914	941395	392336	0	343949
cl_s_115	492498	6148672	12.485	13.139	666425	1700299	0.217	20291181	16944357	0.835	8428961	1301662	1092778	468603	0	483781
cl_s_117	491642	6183492	12.577	13.314	894154	2327994	0.274	22719345	18538873	0.816	9133233	1407077	1593291	611003	0	569101
cl_s_119	490973	4783654	9.743	10.278	665987	1670240	0.259	17364516	14039003	0.808	6919122	1216597	1213165	479525	0	416226
cl_s_129	490988	5562376	11.329	11.955	660019	1534657	0.216	18642195	15407152	0.826	7650100	1226777	1044311	445784	0	518171
cl_s_142	500553	5900275	11.788	12.527	644606	1242602	0.174	18716592	15461082	0.826	7673599	1261150	1053811	437827	0	502722
cl_s_147	473206	2836829	5.995	6.244	654253	3238633	0.533	16611739	13379585	0.805	6649870	1036988	1295762	416321	0	483083
cl_s_148	476955	2877864	6.034	6.313	700895	3383405	0.54	17484314	13852591	0.792	6890427	1186635	1427173	435881	0	582034
cl_s_154	482963	4251119	8.802	9.24	563869	1270364	0.23	14687085	11991742	0.816	5906390	961423	997275	398856	0	337789
cl_s_17	464119	2322419	5.004	5.204	712192	3954991	0.63	17756590	13936380	0.785	6946778	1217076	1492064	443634	0	667436
cl_s_179	459257	1850229	4.029	4.19	544872	3006093	0.619	13690597	10771893	0.787	5370699	936342	1139739	319058	0	523565
cl_s_188	492697	4125123	8.373	8.834	532104	1226387	0.229	14273445	11606406	0.813	5722792	998770	953598	403370	0	311301
cl_s_189	484256	2668781	5.511	5.793	532828	1818589	0.405	12404229	9890755	0.797	4870557	821240	952792	364445	0	374997
cl_s_19	473802	2783883	5.876	6.132	705108	3232854	0.537	16827710	13350912	0.793	6629067	1106061	1375166	435981	0	559590
cl_s_190	436950	1539456	3.523	3.645	459665	2514218	0.62	11591988	9006356	0.777	4493017	844530	995710	274008	0	471384
cl_s_199	433095	5863894	13.54	14.114	1070931	1216138	0.172	19121753	15584105	0.815	7433142	1190820	1300696	709755	0	336377
cl_s_20	401042	6920870	17.257	18.005	1307289	1613272	0.189	23149276	18800078	0.812	8958647	1495031	1578494	893509	0	382164
cl_s_215	456256	1929395	4.229	4.387	600756	3415621	0.639	15114223	11874497	0.786	5928725	1033810	1263733	352894	0	589289
cl_s_23	450090	1939324	4.309	4.467	628919	3510001	0.644	15592409	12136581	0.778	6058337	1113633	1337413	377655	0	627127
cl_s_234	438455	1777071	4.053	4.201	587886	3248068	0.646	14472140	11207078	0.774	5594053	1013164	1289851	349521	0	612526
cl_s_236	443061	6184078	13.958	14.579	1124955	1291153	0.173	20182622	16450367	0.815	7850181	1301805	1347790	732744	0	349916
cl_s_249	496428	6056782	12.201	12.907	726692	1696920	0.219	20379946	16842177	0.826	8361783	1321392	1149334	490579	0	576464
cl_s_257	420714	7038160	16.729	17.451	671537	1778498	0.202	22377405	18875501	0.844	9387306	1372822	1128523	571970	0	428589
cl_s_26	478689	5118589	10.693	11.208	699948	1863675	0.267	18501144	15146285	0.819	7464073	1185929	1235029	523197	0	410704
cl_s_27	454770	3019480	6.64	6.911	491102	759521	0.201	10688943	8419481	0.788	4149378	774880	836215	297628	0	360739
cl_s_284	432119	5849913	13.538	14.087	1078505	1160656	0.166	18845674	15441764	0.819	7352690	1121466	1270353	696037	0	316054
cl_s_30	487564	4872587	9.994	10.515	633248	1546951	0.241	16837958	13895576	0.825	6842790	1031226	1102497	463935	0	344724
cl_s_308	460407	2092815	4.546	4.712	627901	3537924	0.628	15906902	12485105	0.785	6226465	1103810	1340893	378680	0	598414
cl_s_310	485862	4353458	8.96	9.428	636986	1528674	0.26	15979842	12849421	0.804	6330303	1131049	1139291	437625	0	422456
cl_s_32	406612	7040110	17.314	18.066	1338516	1631349	0.188	23418473	19105339	0.816	9095364	1397759	1617864	915732	0	381779
cl_s_34	456104	2210918	4.847	5.016	666146	3758652	0.63	16822172	13231516	0.787	6595800	1141320	1410798	412710	0	625828
cl_s_35	496249	5631568	11.348	11.917	614008	1181454	0.173	17803016	14744767	0.828	7317737	1259618	950543	426086	0	422002
cl_s_37	461767	2297968	4.976	5.162	744841	4258209	0.649	18642178	14578710	0.782	7277692	1287444	1572235	480131	0	723658
cl_s_40	493958	3552935	7.193	7.595	723919	2584825	0.421	16912752	13505794	0.799	6644115	1160202	1280595	478519	0	487642
cl_s_43	475704	2457433	5.166	5.402	786875	4295564	0.636	19355130	15022823	0.776	7482951	1436627	1648799	479383	0	767498
cl_s_47	490325	6945287	14.165	14.871	773167	2092797	0.232	23440454	19511200	0.832	9699949	1551205	1259866	553949	0	564234
cl_s_57	429528	6701085	15.601	16.394	642096	1613919	0.194	21205118	17815767	0.84	8858667	1340054	1075325	569342	0	404630
cl_s_58	473820	5855251	12.358	12.964	608741	1267288	0.178	18597188	15359494	0.826	7628214	1329168	1007883	445707	0	454936
cl_s_71	463485	2198099	4.743	4.935	666317	3759823	0.631	16965878	13216334	0.779	6592095	1246460	1436168	408142	0	658774
cl_s_77	483035	6036680	12.497	13.158	801944	2064208	0.255	21281941	17547141	0.825	8644309	1287962	1413937	581774	0	451127
cl_s_8	490586	4654874	9.488	9.993	486643	840818	0.153	14328410	11875207	0.829	5892872	932257	778861	380683	0	361402
cl_s_9	493923	5331648	10.794	11.385	579636	1018277	0.16	16520267	13751674	0.832	6822113	1017445	918486	397987	0	434675
cl_s_96	487337	4090730	8.394	8.828	536427	1190407	0.225	14118316	11471321	0.813	5653757	960554	978705	384902	0	322834
lb_f_100	505818	6364553	12.583	13.39	658693	1373315	0.177	19968910	16681037	0.835	8284476	1267112	1066529	475092	0	479140
lb_f_109	507642	8458601	16.663	17.812	988130	2103218	0.199	27604919	22906944	0.83	11356995	1709585	1572412	641165	0	774813
lb_f_114	479871	3383395	7.051	7.397	662524	2414008	0.416	15845935	12724223	0.803	6264296	1032497	1202292	440632	0	446291
lb_f_119	505327	4726063	9.352	9.97	946456	3616807	0.434	22862219	18314419	0.801	9025093	1573353	1709838	623432	0	641177
lb_f_134	23390	24493	1.047	1.05	4870	24311	0.498	139711	109524	0.784	55850	9785	13128	3687	0	3587
lb_f_137	457601	1718976	3.756	3.93	546009	2839658	0.623	13126159	10177640	0.775	5072997	918249	1152831	323106	0	554333
lb_f_142	528640	3115838	5.894	6.397	361408	989044	0.241	10685294	8824523	0.826	4358233	681303	682931	297119	0	199418
lb_f_143	357748	1038890	2.904	2.981	156873	672136	0.393	4418501	3690751	0.835	1822852	243898	293663	111680	0	78509
lb_f_146	505084	5304137	10.501	11.222	565774	1038040	0.164	16491884	13716232	0.832	6808281	1048874	916656	377510	0	432612
lb_f_150	497196	5048162	10.153	10.809	590589	1327060	0.208	16759484	13845918	0.826	6880107	1081400	976243	379035	0	476888
lb_f_151	485004	2487691	5.129	5.403	757372	4335898	0.635	19059304	15115697	0.793	7534736	1177914	1595785	449848	0	720060
lb_f_172	495110	3624352	7.32	7.753	725114	2610571	0.419	17072398	13709478	0.803	6749441	1065290	1326924	464962	0	505744
lb_f_178	414396	5757946	13.895	14.437	531387	1332766	0.188	17936823	15172409	0.846	7550310	1045928	910553	471816	0	336117
lb_f_179	439834	5797159	13.18	13.746	1038033	1159311	0.167	18570724	15289828	0.823	7295325	1047785	1248490	676187	0	308434
lb_f_185	492644	6556354	13.309	14.071	659700	1453689	0.181	20513757	17225754	0.84	8556011	1271953	1074010	486991	0	455049
lb_f_191	483818	3897360	8.055	8.47	539466	1338666	0.256	13914691	11387029	0.818	5611537	837204	972634	374735	0	343089
